summary_type,region,metric,mean,median,std,valid_case_count
metric,,gt_foreground_background_R_auroc,0.16151394164652227,0.16320269879801677,0.03254761992337647,8
metric,,gt_foreground_background_R_auprc,0.035972072939681986,0.037974621748855464,0.009154287574557706,8
metric,,gt_foreground_background_R_auroc_full_voxel,0.16151394164652227,0.16320269879801677,0.03254761992337647,8
metric,,gt_foreground_background_R_auprc_full_voxel,0.035972072939681986,0.037974621748855464,0.009154287574557706,8
metric,,gt_foreground_background_raw_positive_count,597931.75,271196.0,467352.2710386005,8
metric,,gt_foreground_background_raw_negative_count,7937987.875,5106835.5,4703510.092541724,8
metric,,gt_foreground_background_negative_sampling_enabled,0.0,0.0,0.0,8
metric,,gt_foreground_background_actual_positive_count,597931.75,271196.0,467352.2710386005,8
metric,,gt_foreground_background_actual_negative_count,7937987.875,5106835.5,4703510.092541724,8
metric,,gt_foreground_background_actual_sample_count,8535919.625,5329728.0,5161032.130585604,8
metric,,gt_foreground_background_negative_sampled,0.0,0.0,0.0,8
metric,,gt_foreground_background_sample_seed,20260923.0,20260923.0,0.0,8
metric,,metric_sampling_seed,20260923.0,20260923.0,0.0,8
metric,,is_final_output,1.0,1.0,0.0,8
metric,,view_count,10.0,10.0,0.0,8
metric,,tdc_embedding_forward_count,125.0,90.0,92.46621004453465,8
metric,,diagnostic_embedding_forward_count,31.0,20.0,25.918140365388872,8
region_stat,valid,probability_voxel_count,8535919.625,5329728.0,5161032.130585604,8
region_stat,valid,probability_mean,0.06343851890414953,0.0654781199991703,0.013131214311528342,8
region_stat,valid,probability_std,0.23502283357083797,0.24216557294130325,0.022800681048923698,8
region_stat,valid,probability_min,1.0719438686594483e-16,4.354200011504457e-37,2.2172322080928754e-16,8
region_stat,valid,probability_p05,4.030213385896808e-10,1.3214939884684283e-19,9.368126659512678e-10,8
region_stat,valid,probability_p25,1.2971071917733259e-08,1.0227206830557451e-16,2.323161302536692e-08,8
region_stat,valid,probability_median,1.6168393166135774e-07,4.7682209292077005e-08,1.8670229218542986e-07,8
region_stat,valid,probability_p75,8.212789037287394e-06,3.3148762668133713e-06,9.566520715356272e-06,8
region_stat,valid,probability_p95,0.7449120110832155,0.9821959435939789,0.38460862476369345,8
region_stat,valid,probability_max,0.9999945908784866,0.9999967813491821,6.094247021049895e-06,8
region_stat,valid,raw_attention_voxel_count,8535919.625,5329728.0,5161032.130585604,8
region_stat,valid,raw_attention_mean,0.0005181975247978698,0.0004753040993819013,0.00013716034033762098,8
region_stat,valid,raw_attention_std,0.0005123706541780848,0.00033454920048825443,0.00032859532094190163,8
region_stat,valid,raw_attention_min,3.8361750966942054e-05,3.747648952412419e-05,9.557925944355475e-06,8
region_stat,valid,raw_attention_p05,0.00011883006663993001,0.00011314716903143562,1.609366664494717e-05,8
region_stat,valid,raw_attention_p25,0.00025662457665021066,0.0002370934744249098,5.507993803185162e-05,8
region_stat,valid,raw_attention_median,0.00044649588016909547,0.0004755168774863705,7.735198480785305e-05,8
region_stat,valid,raw_attention_p75,0.0006099789752624929,0.0006091868272051215,6.630884334585329e-05,8
region_stat,valid,raw_attention_p95,0.0011433609906816855,0.000763953139539808,0.0006090120312361569,8
region_stat,valid,raw_attention_max,0.017047682049451396,0.01045691897161305,0.01713397239599792,8
region_stat,valid,rank_attention_voxel_count,8535919.625,5329728.0,5161032.130585604,8
region_stat,valid,rank_attention_mean,0.5,0.5,0.0,8
region_stat,valid,rank_attention_std,0.2886751741170883,0.2886751890182495,2.1073424255447017e-08,8
region_stat,valid,rank_attention_min,0.0,0.0,0.0,8
region_stat,valid,rank_attention_p05,0.05000000027939677,0.05000000074505806,1.2320239614064762e-09,8
region_stat,valid,rank_attention_p25,0.2500000037252903,0.25,9.85619169125181e-09,8
region_stat,valid,rank_attention_median,0.4999999888241291,0.5,3.630963841382028e-08,8
region_stat,valid,rank_attention_p75,0.7500000149011612,0.75,3.942476676500724e-08,8
region_stat,valid,rank_attention_p95,0.9500000104308128,0.949999988079071,2.8855974571462102e-08,8
region_stat,valid,rank_attention_max,1.0,1.0,0.0,8
region_stat,valid,residual_voxel_count,8535919.625,5329728.0,5161032.130585604,8
region_stat,valid,residual_mean,7.425751333278718e-10,7.951547476015008e-10,1.1490720721867764e-09,8
region_stat,valid,residual_std,0.4735890366137028,0.4720288813114166,0.018284185774729823,8
region_stat,valid,residual_min,-0.9715258628129959,-0.9862991571426392,0.028052087685572828,8
region_stat,valid,residual_p05,-0.7699436768889427,-0.7692032754421234,0.029919702969383642,8
region_stat,valid,residual_p25,-0.4153958298265934,-0.3999672830104828,0.05203077216747383,8
region_stat,valid,residual_median,0.05214635841548443,0.04536917805671692,0.05215448969356753,8
region_stat,valid,residual_p75,0.39072177931666374,0.3793976753950119,0.041725399172870305,8
region_stat,valid,residual_p95,0.6966795101761818,0.6994830667972565,0.03985587739746273,8
region_stat,valid,residual_max,0.9839665219187737,0.986499696969986,0.0052092012057174215,8
region_stat,gt_foreground,probability_voxel_count,597931.75,271196.0,467352.2710386005,8
region_stat,gt_foreground,probability_mean,0.8648186922073364,0.9129919111728668,0.129964484277477,8
region_stat,gt_foreground,probability_std,0.26004614122211933,0.24134375900030136,0.093935876711117,8
region_stat,gt_foreground,probability_min,2.7761101922495635e-05,9.798698521569044e-08,6.147781347709234e-05,8
region_stat,gt_foreground,probability_p05,0.3072699340409615,0.128360815346241,0.3350243093468557,8
region_stat,gt_foreground,probability_p25,0.8523343784618191,0.9865898191928864,0.3217909601084916,8
region_stat,gt_foreground,probability_median,0.9678883627057076,0.9983111321926117,0.07853202162152396,8
region_stat,gt_foreground,probability_p75,0.9980108216404915,0.9994721412658691,0.003747846313482304,8
region_stat,gt_foreground,probability_p95,0.9997773244976997,0.9998729825019836,0.0002628353209946732,8
region_stat,gt_foreground,probability_max,0.9999944269657135,0.9999964237213135,6.024714721701354e-06,8
