case_id,view_id,entropy,cac,saaf,purity,coverage,mu_fg,mu_bg,attention_mad,mask_ratio,evidence_sum,valid,invalid_reason,selected
HCC_10081574_20140213.nii.gz,0,0.0037691097240895033,0.015909753739833832,0.06377262622117996,0.6366958618164062,0.03356745094060898,0.5547764897346497,0.3165592849254608,0.501243531703949,0.01943393051624298,555.01416015625,True,,True
HCC_10081574_20140213.nii.gz,1,0.0038749962113797665,0.014126435853540897,0.059595078229904175,0.6257175207138062,0.0312875434756279,0.5335477590560913,0.3191487193107605,0.5057086944580078,0.0189533494412899,558.5108032226562,True,,False
HCC_10081574_20140213.nii.gz,2,0.004034943878650665,0.015902217477560043,0.06206583231687546,0.6399623155593872,0.03261450305581093,0.5640209913253784,0.31731274724006653,0.5044136047363281,0.01861415058374405,556.2518920898438,True,,False
HCC_10081574_20140213.nii.gz,3,0.003771209390833974,0.01590818725526333,0.06392883509397507,0.637198269367218,0.033652618527412415,0.5562743544578552,0.3167250156402588,0.5011299848556519,0.019442493095993996,555.3488159179688,True,,False
HCC_10081574_20140213.nii.gz,4,0.004073160234838724,0.016074631363153458,0.05967746675014496,0.6324805021286011,0.03131619840860367,0.5559366941452026,0.3230406641960144,0.5043573975563049,0.018438950181007385,565.6349487304688,True,,False
HCC_10081574_20140213.nii.gz,5,0.003913821652531624,0.014411889016628265,0.06256023049354553,0.6327347755432129,0.03290696442127228,0.5548024773597717,0.32202911376953125,0.5028924942016602,0.019367896020412445,564.2567138671875,True,,False
HCC_10081574_20140213.nii.gz,6,0.0037899045273661613,0.016313308849930763,0.0619264617562294,0.6306114792823792,0.03256208822131157,0.5342849493026733,0.31296300888061523,0.5009193420410156,0.019334373995661736,548.1942749023438,True,,False
HCC_10081574_20140213.nii.gz,7,0.004063824191689491,0.016059204936027527,0.0595385767519474,0.634513258934021,0.03123476728796959,0.5527482628822327,0.3183881640434265,0.5064755082130432,0.018232980743050575,557.5586547851562,True,,False
HCC_10081574_20140213.nii.gz,8,0.0038599444087594748,0.01471895631402731,0.06154559552669525,0.6276817917823792,0.032359298318624496,0.534298837184906,0.3169258236885071,0.4982722997665405,0.019450370222330093,554.9537353515625,True,,False
ICC_PA18.nii.gz,0,0.002194731729105115,0.01924811489880085,0.007539768703281879,0.6781591176986694,0.00379096413962543,0.596432089805603,0.2830539047718048,0.510810911655426,0.0018027005717158318,490.09332275390625,True,,False
ICC_PA18.nii.gz,1,0.0019342562882229686,0.018202293664216995,0.007173437159508467,0.6757452487945557,0.003605863079428673,0.5932984352111816,0.28469184041023254,0.5033722519874573,0.0017335095908492804,492.8719482421875,True,,False
ICC_PA18.nii.gz,2,0.0021293412428349257,0.019224155694246292,0.007371512241661549,0.674227774143219,0.00370602123439312,0.5858843326568604,0.28308555483818054,0.5102614164352417,0.0017940980615094304,490.11053466796875,True,,False
ICC_PA18.nii.gz,3,0.0020485694985836744,0.018902845680713654,0.007054800167679787,0.677033007144928,0.0035458796191960573,0.5949353575706482,0.28380271792411804,0.5069657564163208,0.0016946372343227267,491.32220458984375,True,,False
ICC_PA18.nii.gz,4,0.002004189183935523,0.01849799044430256,0.0072605060413479805,0.6742952466011047,0.0036499088164418936,0.5900431871414185,0.2850074768066406,0.5055616497993469,0.0017663410399109125,493.4239501953125,True,,False
ICC_PA18.nii.gz,5,0.0024192901328206062,0.018158186227083206,0.009065568447113037,0.6952260732650757,0.004562538117170334,0.6464046239852905,0.2833704948425293,0.502036988735199,0.002005260903388262,490.92218017578125,True,,False
ICC_PA18.nii.gz,6,0.002151661552488804,0.018594317138195038,0.007433146238327026,0.6843515634536743,0.0037368726916611195,0.6124745011329651,0.2824951112270355,0.5067062377929688,0.001727055641822517,489.13629150390625,True,,False
ICC_PA18.nii.gz,7,0.002102157799527049,0.01862478442490101,0.007498009596019983,0.6774749159812927,0.0037698722444474697,0.5961573123931885,0.2838112711906433,0.5079650282859802,0.0017982660792768002,491.396484375,True,,True
ICC_PA18.nii.gz,8,0.002335926750674844,0.018908733502030373,0.007915914990007877,0.6842602491378784,0.003980990499258041,0.6128002405166626,0.2827647924423218,0.5031661987304688,0.0018408973701298237,489.66741943359375,True,,False
HCC_10076307_20130925.nii.gz,0,0.0032888876739889383,0.027767986059188843,0.014634118415415287,0.5314897894859314,0.007419214118272066,0.32938799262046814,0.29035574197769165,0.48580455780029297,0.006545796524733305,502.17620849609375,True,,True
HCC_10076307_20130925.nii.gz,1,0.0034831177908927202,0.026863552629947662,0.018447360023856163,0.5926722288131714,0.00936951208859682,0.4335017502307892,0.2979331314563751,0.48875677585601807,0.006458315532654524,516.3413696289062,True,,False
HCC_10076307_20130925.nii.gz,2,0.003435462014749646,0.029520099982619286,0.018615923821926117,0.5687784552574158,0.00946283619850874,0.38989368081092834,0.2955983877182007,0.48766517639160156,0.007190716452896595,511.96563720703125,True,,False
HCC_10076307_20130925.nii.gz,3,0.0030200653709471226,0.026201678439974785,0.008803395554423332,0.563353955745697,0.004436368588358164,0.3790213167667389,0.2937719225883484,0.4830704927444458,0.003441975684836507,508.14495849609375,True,,False
HCC_10076307_20130925.nii.gz,4,0.003264486091211438,0.02783007174730301,0.010786942206323147,0.545428454875946,0.005447347182780504,0.3527464270591736,0.2939852476119995,0.4915618300437927,0.0045440406538546085,508.4678955078125,True,,False
HCC_10076307_20130925.nii.gz,5,0.0035499457735568285,0.022059766575694084,0.012433185242116451,0.5385412573814392,0.006289203185588121,0.34956884384155273,0.29953330755233765,0.49212646484375,0.005393853411078453,518.0599365234375,True,,False
HCC_10076307_20130925.nii.gz,6,0.003316673915833235,0.026645760983228683,0.014422979205846786,0.5344280004501343,0.0073101455345749855,0.33662766218185425,0.29325541853904724,0.4888324737548828,0.0063742841593921185,507.2230529785156,True,,False
HCC_10076307_20130925.nii.gz,7,0.003333649132400751,0.025102244690060616,0.013590323738753796,0.5324324369430542,0.006883019115775824,0.33403274416923523,0.2933373749256134,0.4924602508544922,0.006049530580639839,507.31243896484375,True,,False
HCC_10076307_20130925.nii.gz,8,0.003572615794837475,0.021082494407892227,0.013277889229357243,0.5623549818992615,0.006718270014971495,0.3834504783153534,0.2984139919281006,0.49259185791015625,0.005236183293163776,516.4287719726562,True,,False
MET_PA25.nii.gz,0,0.0019341433653607965,0.027309497818350792,0.05747344344854355,0.6101629137992859,0.030157070606946945,0.4785335659980774,0.3057372272014618,0.40331268310546875,0.01947961002588272,534.13037109375,True,,False
MET_PA25.nii.gz,1,0.0018883106531575322,0.027446134015917778,0.06995432078838348,0.662642776966095,0.03692634776234627,0.5953952074050903,0.3031199276447296,0.40054696798324585,0.019146529957652092,533.461181640625,True,,True
MET_PA25.nii.gz,2,0.0019211751641705632,0.02680502086877823,0.06158199906349182,0.6269199252128601,0.03238145634531975,0.517236053943634,0.30780619382858276,0.4029654860496521,0.019526155665516853,538.9555053710938,True,,False
MET_PA25.nii.gz,3,0.0018827965250238776,0.027457410469651222,0.06710691004991531,0.6535001993179321,0.03536952659487724,0.5705214738845825,0.3025016486644745,0.39725881814956665,0.01907048560678959,531.5550537109375,True,,False
MET_PA25.nii.gz,4,0.0019530538702383637,0.027928613126277924,0.05548715591430664,0.6020837426185608,0.02908378653228283,0.4618801772594452,0.30525490641593933,0.4047412872314453,0.019412826746702194,532.7345581054688,True,,False
MET_PA25.nii.gz,5,0.0020603472366929054,0.02879716083407402,0.06782559305429459,0.647005021572113,0.03578871861100197,0.5836857557296753,0.3184480667114258,0.4034639000892639,0.019848456606268883,559.37548828125,True,,False
MET_PA25.nii.gz,6,0.0019020398613065481,0.02745296061038971,0.06657716631889343,0.6509315967559814,0.03508276119828224,0.5644130706787109,0.30267098546028137,0.39988142251968384,0.019124556332826614,531.6654052734375,True,,False
MET_PA25.nii.gz,7,0.001935865031555295,0.02737531065940857,0.05729342997074127,0.609432578086853,0.030059736222028732,0.4771364629268646,0.30578169226646423,0.40341562032699585,0.019474569708108902,534.1571655273438,True,,False
MET_PA25.nii.gz,8,0.0018890566425397992,0.02683057077229023,0.06733020395040512,0.6524410247802734,0.03549673780798912,0.5709360837936401,0.3041398525238037,0.40186309814453125,0.019228197634220123,534.4183349609375,True,,False
MET_PA19.nii.gz,0,1.4828797247901093e-05,0.0060884542763233185,0.0,0.0,0.0,0.0,0.0,0.42364513874053955,0.0,0.0,False,empty_soft_mask,False
MET_PA19.nii.gz,1,1.4828797247901093e-05,0.006090683396905661,0.0,0.0,0.0,0.0,0.0,0.4236411452293396,0.0,0.0,False,empty_soft_mask,False
MET_PA19.nii.gz,2,1.4828797247901093e-05,0.0057190945371985435,0.0,0.0,0.0,0.0,0.0,0.4084225296974182,0.0,0.0,False,empty_soft_mask,False
MET_PA19.nii.gz,3,1.4828797247901093e-05,0.005202427040785551,0.0,0.0,0.0,0.0,0.0,0.4127960205078125,0.0,0.0,False,empty_soft_mask,False
MET_PA19.nii.gz,4,1.4828797247901093e-05,0.0059109157882630825,0.0,0.0,0.0,0.0,0.0,0.40711212158203125,0.0,0.0,False,empty_soft_mask,False
MET_PA19.nii.gz,5,1.4828797247901093e-05,0.005668792873620987,0.0,0.0,0.0,0.0,0.0,0.40549468994140625,0.0,0.0,False,empty_soft_mask,False
MET_PA19.nii.gz,6,1.4828797247901093e-05,0.006087914574891329,0.0,0.0,0.0,0.0,0.0,0.4236220121383667,0.0,0.0,False,empty_soft_mask,False
MET_PA19.nii.gz,7,1.4828797247901093e-05,0.005517426412552595,0.0,0.0,0.0,0.0,0.0,0.4009169936180115,0.0,0.0,False,empty_soft_mask,False
MET_PA19.nii.gz,8,1.4828797247901093e-05,0.004903411492705345,0.0,0.0,0.0,0.0,0.0,0.39548492431640625,0.0,0.0,False,empty_soft_mask,False
CYST_PA56.nii.gz,0,0.004164870362728834,0.019368307664990425,0.11952877044677734,0.6976466178894043,0.06536391377449036,0.7082505822181702,0.306948184967041,0.4385979175567627,0.02941751852631569,550.8060302734375,True,,False
CYST_PA56.nii.gz,1,0.004318665247410536,0.01895875111222267,0.12427108734846115,0.7082006931304932,0.06811154633760452,0.758807897567749,0.3126499056816101,0.43903499841690063,0.0292346253991127,562.7977905273438,True,,True
CYST_PA56.nii.gz,2,0.004252059850841761,0.018325868993997574,0.1210998147726059,0.7017489671707153,0.06626787036657333,0.7261951565742493,0.3086399435997009,0.4377087950706482,0.029280155897140503,554.4564819335938,True,,False
CYST_PA56.nii.gz,3,0.004427059553563595,0.020002614706754684,0.12266617268323898,0.7051514983177185,0.06717605143785477,0.7606151700019836,0.31803885102272034,0.4357565641403198,0.02923114225268364,571.92626953125,True,,False
CYST_PA56.nii.gz,4,0.004163940437138081,0.01938190869987011,0.11946379393339157,0.6975693106651306,0.06532573699951172,0.7080720663070679,0.30698326230049133,0.4386909008026123,0.029410138726234436,550.8507690429688,True,,False
CYST_PA56.nii.gz,5,0.0044676754623651505,0.021087562665343285,0.1280893087387085,0.7189095616340637,0.07030820846557617,0.8118683099746704,0.31743600964546204,0.43401944637298584,0.02871985174715519,573.0670776367188,True,,False
CYST_PA56.nii.gz,6,0.004510228056460619,0.02064596489071846,0.1264459639787674,0.7099291682243347,0.06940385699272156,0.7764791250228882,0.31726154685020447,0.4357273578643799,0.02957151085138321,571.6937255859375,True,,False
CYST_PA56.nii.gz,7,0.004599680658429861,0.023634186014533043,0.1061466783285141,0.6996636390686035,0.057429779320955276,0.7264754772186279,0.31184452772140503,0.4437408447265625,0.025487542152404785,557.128662109375,True,,False
CYST_PA56.nii.gz,8,0.004672370385378599,0.022168785333633423,0.10694488137960434,0.6954166293144226,0.05792665481567383,0.7069891691207886,0.3096510171890259,0.4407843351364136,0.026224801316857338,553.0828857421875,True,,False
FNH_PA32.nii.gz,0,0.0017687585204839706,0.005034976173192263,0.11313330382108688,0.8017657995223999,0.06086059287190437,1.1816470623016357,0.29215776920318604,0.3941936492919922,0.015770025551319122,529.0877685546875,True,,False
FNH_PA32.nii.gz,1,0.0017248888034373522,0.005197992082685232,0.11238397657871246,0.8012732863426208,0.06042991206049919,1.1715596914291382,0.29056182503700256,0.39278697967529297,0.01570087857544422,525.9932861328125,True,,True
FNH_PA32.nii.gz,2,0.0017698502633720636,0.0046198200434446335,0.11220182478427887,0.8001564741134644,0.06033093109726906,1.1707510948181152,0.2924005389213562,0.3945951461791992,0.01578228361904621,529.2223510742188,True,,False
FNH_PA32.nii.gz,3,0.0018628465477377176,0.004682811908423901,0.11244644969701767,0.8030198812484741,0.060456112027168274,1.1891508102416992,0.29169684648513794,0.39804941415786743,0.015538765117526054,528.149658203125,True,,False
FNH_PA32.nii.gz,4,0.0017593464581295848,0.004028727766126394,0.11161743104457855,0.7993349432945251,0.059997767210006714,1.1602210998535156,0.2912609577178955,0.3927727937698364,0.015770448371767998,526.9791870117188,True,,False
FNH_PA32.nii.gz,5,0.0018821791745722294,0.004497698973864317,0.11128890514373779,0.8007276058197021,0.059800177812576294,1.1779729127883911,0.29315420985221863,0.3990287780761719,0.015581980347633362,530.394775390625,True,,False
FNH_PA32.nii.gz,6,0.0017335903830826283,0.005176021717488766,0.1122480109333992,0.800946831703186,0.06035314500331879,1.1704721450805664,0.2908875048160553,0.3919782042503357,0.015711640939116478,526.5340576171875,True,,False
FNH_PA32.nii.gz,7,0.001768865273334086,0.005037092603743076,0.11313595622777939,0.8017774820327759,0.06086206063628197,1.1814628839492798,0.2920907437801361,0.3943329453468323,0.01576927863061428,528.967529296875,True,,False
FNH_PA32.nii.gz,8,0.0018874799134209752,0.003750199917703867,0.109809011220932,0.7996752262115479,0.05895214527845383,1.1578713655471802,0.2900547385215759,0.3959580063819885,0.015450590290129185,524.3841552734375,True,,False
HCC_10142924_20170911.nii.gz,0,0.0031499008182436228,0.001500371959991753,0.00026480434462428093,0.5719872117042542,0.0001324330660281703,0.3809192478656769,0.28503739833831787,0.4596290588378906,9.910082735586911e-05,492.56103515625,True,,False
HCC_10142924_20170911.nii.gz,1,0.0029979231767356396,0.0012572889681905508,0.00032796498271636665,0.6194084286689758,0.0001640261907596141,0.4656308889389038,0.28610295057296753,0.466850221157074,0.00010079031926579773,494.417236328125,True,,True
HCC_10142924_20170911.nii.gz,2,0.0032613181974738836,0.0016643578419461846,7.97039465396665e-05,0.5267429947853088,3.985506555181928e-05,0.3189643323421478,0.28657540678977966,0.46155351400375366,3.5807592212222517e-05,495.204345703125,True,,False
HCC_10142924_20170911.nii.gz,3,0.0031499008182436228,0.001500371959991753,0.00026480434462428093,0.5719872117042542,0.0001324330660281703,0.3809192478656769,0.28503739833831787,0.4596290588378906,9.910082735586911e-05,492.56103515625,True,,False
HCC_10142924_20170911.nii.gz,4,0.0031484398059546947,0.0015041413716971874,0.00026665430050343275,0.5720829367637634,0.0001333584514213726,0.3811505436897278,0.28509896993637085,0.459564208984375,9.975433931685984e-05,492.6676330566406,True,,False
HCC_10142924_20170911.nii.gz,5,0.0030875608790665865,0.0019221676047891378,1.5686897313571535e-05,0.4912417232990265,7.843590537959244e-06,0.27402979135513306,0.28380006551742554,0.46790510416030884,8.122667168208864e-06,490.40643310546875,True,,False
HCC_10142924_20170911.nii.gz,6,0.0032676870469003916,0.0016923247603699565,4.685657404479571e-05,0.5184390544891357,2.342939296795521e-05,0.3093244135379791,0.28732019662857056,0.4595508575439453,2.17621709452942e-05,496.49017333984375,True,,False
HCC_10142924_20170911.nii.gz,7,0.0031499008182436228,0.001500371959991753,0.00026480434462428093,0.5719872117042542,0.0001324330660281703,0.3809192478656769,0.28503739833831787,0.4596290588378906,9.910082735586911e-05,492.56103515625,True,,False
HCC_10142924_20170911.nii.gz,8,0.0031965451780706644,0.0007113676401786506,0.0007893668371252716,0.609376072883606,0.0003949398815166205,0.4465225338935852,0.28623008728027344,0.4656715989112854,0.00025319986161775887,494.67572021484375,True,,False
CYST_PA20.nii.gz,0,0.005584886763244867,0.018657570704817772,0.06281114369630814,0.662326991558075,0.0329689085483551,0.5847037434577942,0.2980974018573761,0.5107893943786621,0.0170845165848732,523.5736083984375,True,,True
CYST_PA20.nii.gz,1,0.005908199120312929,0.016069211065769196,0.06461132317781448,0.6640619039535522,0.03395770490169525,0.5914509892463684,0.29920437932014465,0.511873185634613,0.01747174933552742,525.8484497070312,True,,False
CYST_PA20.nii.gz,2,0.006470861379057169,0.015253454446792603,0.06289329379796982,0.6654389500617981,0.03300648182630539,0.6020083427429199,0.30266913771629333,0.5101585984230042,0.016871418803930283,531.7391357421875,True,,False
CYST_PA20.nii.gz,3,0.005601787474006414,0.020726334303617477,0.055177994072437286,0.6648199558258057,0.028783509507775307,0.5862617492675781,0.2955726385116577,0.5114812254905701,0.014721744693815708,518.1444702148438,True,,False
CYST_PA20.nii.gz,4,0.006160723976790905,0.017041128128767014,0.06041281670331955,0.6542039513587952,0.031668685376644135,0.5701055526733398,0.3013426959514618,0.5120396018028259,0.016992924734950066,528.6121215820312,True,,False
CYST_PA20.nii.gz,5,0.005810414906591177,0.017857367172837257,0.054869554936885834,0.6624836325645447,0.028620030730962753,0.5787133574485779,0.2948368489742279,0.5126782059669495,0.014788651838898659,516.7324829101562,True,,False
CYST_PA20.nii.gz,6,0.005567249841988087,0.022766048088669777,0.055921703577041626,0.6639518141746521,0.029190173372626305,0.5805707573890686,0.29384520649909973,0.5095841884613037,0.014990166760981083,515.1915283203125,True,,False
CYST_PA20.nii.gz,7,0.0062837242148816586,0.014925378374755383,0.06809636950492859,0.6720855832099915,0.0358651839196682,0.6274793744087219,0.30614978075027466,0.5153878927230835,0.017826175317168236,538.9249877929688,True,,False
CYST_PA20.nii.gz,8,0.0057734716683626175,0.020449917763471603,0.056216128170490265,0.6509861350059509,0.029376517981290817,0.5480883121490479,0.29384610056877136,0.5080862641334534,0.01596718840301037,514.7808837890625,True,,False
HCC_PA0.nii.gz,0,0.012517647817730904,0.006558701395988464,0.27771809697151184,0.6035621762275696,0.18035216629505157,0.47521379590034485,0.3121337890625,0.5420302748680115,0.12627582252025604,574.9520263671875,True,,False
HCC_PA0.nii.gz,1,0.01312964502722025,0.006670190487056971,0.27762964367866516,0.6023280024528503,0.1803879588842392,0.47454917430877686,0.3133082687854767,0.5387306213378906,0.12687250971794128,576.7464599609375,True,,False
HCC_PA0.nii.gz,2,0.012513129971921444,0.0065721068531274796,0.2773723006248474,0.6032096743583679,0.180091992020607,0.4743845760822296,0.31204843521118164,0.5420226454734802,0.12624403834342957,574.63330078125,True,,False
